+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+
| CYCLE  | FETCH  | DECODE | EXECUT | MEMORY | WRITE  |   r0   |   r1   |   r2   |   r3   |   r4   |   r5   |   r6   |   r7   |   r8   |   r9   |  r10   |  r11   |  r12   |  r13   |   sp   |   ra   |
+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+
|      1 | I1     |  ....  |  ....  |  ....  |  ....  |       0|       0|       0|       0|       0|       0|       0|       0|       0|       0|       0|       0|       0|       0|   186a0|       0|
|      2 | I2     | I1     |  ....  |  ....  |  ....  |       0|       0|       0|       0|       0|       0|       0|       0|       0|       0|       0|       0|       0|       0|   186a0|       0|
|      3 | I3     | I2     | I1     |  ....  |  ....  |       0|       0|       0|       0|       0|       0|       0|       0|       0|       0|       0|       0|       0|       0|   186a0|       0|
|      4 | I21    |  ....  |  ....  | I1     |  ....  |       0|       0|       0|       0|       0|       0|       0|       0|       0|       0|       0|       0|       0|       0|   186a0|       0|
|      5 | I22    | I21    |  ....  |  ....  | I1     |       0|       0|       0|       0|       0|       0|       0|       0|       0|       0|       0|       0|       0|       0|   186a0|       0|
|      6 | I23    | I22    | I21    |  ....  |  ....  |       0|       0|       0|       0|       0|       0|       0|       0|       0|       0|       0|       0|       0|       0|   186a0|       0|
|      7 |  ....  | I23    | I22    | I21    |  ....  |       0|       0|       0|       0|       0|       0|       0|       0|       0|       0|       0|       0|       0|       0|   186a0|       0|
|      8 | I2     |  ....  |  ....  |  ....  | I21    |       0|       0|       0|       0|       0|       0|       0|       0|       0|       0|       0|       0|       0|       0|   186a0|       0|
|      9 | I3     | I2     |  ....  |  ....  |  ....  |       0|       0|       0|       0|       0|       9|       0|       0|       0|       0|       0|       0|       0|       0|   186a0|       0|
|     10 | I4     | I3     | I2     |  ....  |  ....  |       0|       0|       0|       0|       0|       9|       0|       0|       0|       0|       0|       0|       0|       0|   186a0|       0|
|     11 | I3     |  ....  |  ....  | I2     |  ....  |       0|       0|       0|       0|       0|       9|       0|       0|       0|       0|       0|       0|       0|       0|   186a0|       0|
|     12 | I4     | I3     |  ....  |  ....  | I2     |       0|       0|       0|       0|       0|       9|       0|       0|       0|       0|       0|       0|       0|       0|   186a0|       0|
|     13 | I5     | I4     | I3     |  ....  |  ....  |       0|       0|       0|       0|       0|       9|       0|       0|       0|       0|       0|       0|       0|       0|   186a0|       0|
|     14 | I6     | I5     | I4     | I3     |  ....  |       0|       0|       0|       0|       0|       9|       0|       0|       0|       0|       0|       0|       0|       0|   186a0|       0|
|     15 | I6     | I5     |  ....  | I4     | I3     |       0|       0|       0|       0|       0|       9|       0|       0|       0|       0|       0|       0|       0|       0|   186a0|       0|
|     16 | I6     | I5     |  ....  |  ....  | I4     |       0|       0|       0|       0|       0|       9|       0|       0|       0|       0|       0|       0|       0|       0|   186a0|       0|
|     17 | I6     | I5     |  ....  |  ....  |  ....  |       0|       0|       0|       0|       0|       9|       0|       0|       0|       0|       0|       0|       0|       0|    fffc|       0|
|     18 | I7     | I6     | I5     |  ....  |  ....  |       0|       0|       0|       0|       0|       9|       0|       0|       0|       0|       0|       0|       0|       0|    fffc|       0|
|     19 | I8     | I7     | I6     | I5     |  ....  |       0|       0|       0|       0|       0|       9|       0|       0|       0|       0|       0|       0|       0|       0|    fffc|       0|
|     20 | I9     | I8     | I7     | I6     | I5     |       0|       0|       0|       0|       0|       9|       0|       0|       0|       0|       0|       0|       0|       0|    fffc|       0|
|     21 | I10    | I9     | I8     | I7     | I6     |       0|       0|       0|       0|       0|       9|       0|       0|       0|       0|       0|       0|       0|       0|    fffc|       0|
|     22 | I10    | I9     |  ....  | I8     | I7     |       0|       0|       0|       0|       0|       9|       0|       0|       0|       0|       0|       0|       0|       0|    fffc|       0|
|     23 | I10    | I9     |  ....  |  ....  | I8     |       0|       0|       0|       0|       0|       9|       0|       0|       0|       0|       0|       0|       0|       0|    fffc|       0|
|     24 | I10    | I9     |  ....  |  ....  |  ....  |   186a0|       0|       0|       0|       0|       9|       0|       0|       0|       0|       0|       0|       0|       0|    fffc|       0|
|     25 | I11    | I10    | I9     |  ....  |  ....  |   186a0|       0|       0|       0|       0|       9|       0|       0|       0|       0|       0|       0|       0|       0|    fffc|       0|
|     26 | I12    | I11    | I10    | I9     |  ....  |   186a0|       0|       0|       0|       0|       9|       0|       0|       0|       0|       0|       0|       0|       0|    fffc|       0|
|     27 | I12    | I11    |  ....  | I10    | I9     |   186a0|       0|       0|       0|       0|       9|       0|       0|       0|       0|       0|       0|       0|       0|    fffc|       0|
|     28 | I12    | I11    |  ....  |  ....  | I10    |   186a0|       0|       0|       0|       0|       9|       0|       0|       0|       0|       0|       0|       0|       0|    fffc|       0|
|     29 | I12    | I11    |  ....  |  ....  |  ....  |    7ffe|       0|       0|       0|       0|       9|       0|       0|       0|       0|       0|       0|       0|       0|    fffc|       0|
